"SamAccountName","DisplayName","ObjectClass","LastLogon","PasswordLastSet","WhenCreated","Enabled","AdminCount","OU","DistinguishedName"
"aceo","Alex CEO","user","Never","2026-08-21 22:19:19","2026-08-21 22:19:19","True","1","OU=Management,DC=lab,DC=local","CN=Alex CEO,OU=Management,DC=lab,DC=local"
"jadams","James Adams","user","Never","2026-08-21 22:19:18","2026-08-21 22:19:18","True","1","OU=IT,DC=lab,DC=local","CN=James Adams,OU=IT,DC=lab,DC=local"
"mlefevre","Marc Lefevre","user","Never","2026-08-21 22:19:18","2026-08-21 22:19:18","True","1","OU=IT,DC=lab,DC=local","CN=Marc Lefevre,OU=IT,DC=lab,DC=local"
"svc-backup","svc-backup","user","Never","2026-08-21 22:19:19","2026-08-21 22:19:19","True","1","OU=Service Accounts,DC=lab,DC=local","CN=svc-backup,OU=Service Accounts,DC=lab,DC=local"
"svc-legacy","svc-legacy","user","Never","2026-08-21 22:19:19","2026-08-21 22:19:19","True","1","OU=Service Accounts,DC=lab,DC=local","CN=svc-legacy,OU=Service Accounts,DC=lab,DC=local"
"svc-sql","svc-sql","user","Never","2026-08-21 22:19:19","2026-08-21 22:19:19","True","1","OU=Service Accounts,DC=lab,DC=local","CN=svc-sql,OU=Service Accounts,DC=lab,DC=local"
"sysadmin-legacy","Legacy Sysadmin","user","Never","2026-08-21 22:19:18","2026-08-21 22:19:18","True","1","OU=IT,DC=lab,DC=local","CN=Legacy Sysadmin,OU=IT,DC=lab,DC=local"
"akovach","Anna Kovach","user","Never","2026-08-21 22:19:18","2026-08-21 22:19:18","True",,"OU=IT,DC=lab,DC=local","CN=Anna Kovach,OU=IT,DC=lab,DC=local"
"alopez","Ana Lopez","user","Never","2026-08-21 22:19:18","2026-08-21 22:19:18","True",,"OU=HR,DC=lab,DC=local","CN=Ana Lopez,OU=HR,DC=lab,DC=local"
"bcoo","Brian COO","user","Never","2026-08-21 22:19:19","2026-08-21 22:19:19","True",,"OU=Management,DC=lab,DC=local","CN=Brian COO,OU=Management,DC=lab,DC=local"
"ccfo","Catherine CFO","user","Never","2026-08-21 22:19:19","2026-08-21 22:19:19","True",,"OU=Management,DC=lab,DC=local","CN=Catherine CFO,OU=Management,DC=lab,DC=local"
"cstein","Catherine Stein","user","Never","2026-08-21 22:19:18","2026-08-21 22:19:18","True",,"OU=IT,DC=lab,DC=local","CN=Catherine Stein,OU=IT,DC=lab,DC=local"
"dvp","David VP","user","Never","2026-08-21 22:19:19","2026-08-21 22:19:19","True",,"OU=Management,DC=lab,DC=local","CN=David VP,OU=Management,DC=lab,DC=local"
"dweber","Daniel Weber","user","Never","2026-08-21 22:19:19","2026-08-21 22:19:19","True",,"OU=HR,DC=lab,DC=local","CN=Daniel Weber,OU=HR,DC=lab,DC=local"
"ewright","Emily Wright","user","Never","2026-08-21 22:19:19","2026-08-21 22:19:19","True",,"OU=HR,DC=lab,DC=local","CN=Emily Wright,OU=HR,DC=lab,DC=local"
"gnakamura","Gen Nakamura","user","Never","2026-08-21 22:19:19","2026-08-21 22:19:19","True",,"OU=Finance,DC=lab,DC=local","CN=Gen Nakamura,OU=Finance,DC=lab,DC=local"
"hwhite","Henry White","user","Never","2026-08-21 22:19:19","2026-08-21 22:19:19","True",,"OU=Finance,DC=lab,DC=local","CN=Henry White,OU=Finance,DC=lab,DC=local"
"jthomas","John Thomas","user","Never","2026-08-21 22:19:19","2026-08-21 22:19:19","True",,"OU=HR,DC=lab,DC=local","CN=John Thomas,OU=HR,DC=lab,DC=local"
"ksimon","Karen Simon","user","Never","2026-08-21 22:19:18","2026-08-21 22:19:18","True",,"OU=HR,DC=lab,DC=local","CN=Karen Simon,OU=HR,DC=lab,DC=local"
"ldubois","Lucas Dubois","user","Never","2026-08-21 22:19:18","2026-08-21 22:19:18","True",,"OU=IT,DC=lab,DC=local","CN=Lucas Dubois,OU=IT,DC=lab,DC=local"
"mbianchi","Maria Bianchi","user","Never","2026-08-21 22:19:18","2026-08-21 22:19:18","True",,"OU=HR,DC=lab,DC=local","CN=Maria Bianchi,OU=HR,DC=lab,DC=local"
"msanchez","Maria Sanchez","user","Never","2026-08-21 22:19:19","2026-08-21 22:19:19","True",,"OU=Finance,DC=lab,DC=local","CN=Maria Sanchez,OU=Finance,DC=lab,DC=local"
"pkim","Paul Kim","user","Never","2026-08-21 22:19:19","2026-08-21 22:19:19","True",,"OU=Finance,DC=lab,DC=local","CN=Paul Kim,OU=Finance,DC=lab,DC=local"
"ptaylor","Patricia Taylor","user","Never",,"2026-08-21 22:19:18","True",,"OU=IT,DC=lab,DC=local","CN=Patricia Taylor,OU=IT,DC=lab,DC=local"
"rmills","Robert Mills","user","Never","2026-08-21 22:19:18","2026-08-21 22:19:18","True",,"OU=IT,DC=lab,DC=local","CN=Robert Mills,OU=IT,DC=lab,DC=local"
"svc-monitor","svc-monitor","user","Never","2026-08-21 22:19:19","2026-08-21 22:19:19","True",,"OU=Service Accounts,DC=lab,DC=local","CN=svc-monitor,OU=Service Accounts,DC=lab,DC=local"
"svc-print","svc-print","user","Never","2026-08-21 22:19:19","2026-08-21 22:19:19","True",,"OU=Service Accounts,DC=lab,DC=local","CN=svc-print,OU=Service Accounts,DC=lab,DC=local"
"tbrown","Thomas Brown","user","Never","2026-08-21 22:19:19","2026-08-21 22:19:19","True",,"OU=Finance,DC=lab,DC=local","CN=Thomas Brown,OU=Finance,DC=lab,DC=local"

