"SamAccountName","DisplayName","ObjectClass","Enabled","PasswordLastSet","PasswordAge","AdminCount","OU","DistinguishedName"
"svc-backup","svc-backup","user","True","2026-08-21 22:19:19","6","1","OU=Service Accounts,DC=lab,DC=local","CN=svc-backup,OU=Service Accounts,DC=lab,DC=local"
"svc-legacy","svc-legacy","user","True","2026-08-21 22:19:19","6","1","OU=Service Accounts,DC=lab,DC=local","CN=svc-legacy,OU=Service Accounts,DC=lab,DC=local"
"svc-sql","svc-sql","user","True","2026-08-21 22:19:19","6","1","OU=Service Accounts,DC=lab,DC=local","CN=svc-sql,OU=Service Accounts,DC=lab,DC=local"
"sysadmin-legacy","Legacy Sysadmin","user","True","2026-08-21 22:19:18","6","1","OU=IT,DC=lab,DC=local","CN=Legacy Sysadmin,OU=IT,DC=lab,DC=local"
"alopez","Ana Lopez","user","True","2026-08-21 22:19:18","6",,"OU=HR,DC=lab,DC=local","CN=Ana Lopez,OU=HR,DC=lab,DC=local"
"ccfo","Catherine CFO","user","True","2026-08-21 22:19:19","6",,"OU=Management,DC=lab,DC=local","CN=Catherine CFO,OU=Management,DC=lab,DC=local"
"pkim","Paul Kim","user","True","2026-08-21 22:19:19","6",,"OU=Finance,DC=lab,DC=local","CN=Paul Kim,OU=Finance,DC=lab,DC=local"
"rmills","Robert Mills","user","True","2026-08-21 22:19:18","6",,"OU=IT,DC=lab,DC=local","CN=Robert Mills,OU=IT,DC=lab,DC=local"
"svc-monitor","svc-monitor","user","True","2026-08-21 22:19:19","6",,"OU=Service Accounts,DC=lab,DC=local","CN=svc-monitor,OU=Service Accounts,DC=lab,DC=local"

