"SamAccountName","DisplayName","GroupName","MembershipType","ObjectClass","Enabled","AdminCount","DistinguishedName"
"aceo","Alex CEO","Account Operators","Direct","user","True","1","CN=Alex CEO,OU=Management,DC=lab,DC=local"
"labadmin",,"Administrators","Direct","user","True","1","CN=labadmin,CN=Users,DC=lab,DC=local"
"jadams","James Adams","Administrators","Nested","user","True","1","CN=James Adams,OU=IT,DC=lab,DC=local"
"mlefevre","Marc Lefevre","Administrators","Nested","user","True","1","CN=Marc Lefevre,OU=IT,DC=lab,DC=local"
"svc-backup","svc-backup","Administrators","Nested","user","True","1","CN=svc-backup,OU=Service Accounts,DC=lab,DC=local"
"svc-legacy","svc-legacy","Administrators","Nested","user","True","1","CN=svc-legacy,OU=Service Accounts,DC=lab,DC=local"
"svc-sql","svc-sql","Backup Operators","Direct","user","True","1","CN=svc-sql,OU=Service Accounts,DC=lab,DC=local"
"sysadmin-legacy","Legacy Sysadmin","Backup Operators","Direct","user","True","1","CN=Legacy Sysadmin,OU=IT,DC=lab,DC=local"
"jadams","James Adams","Domain Admins","Direct","user","True","1","CN=James Adams,OU=IT,DC=lab,DC=local"
"labadmin",,"Domain Admins","Direct","user","True","1","CN=labadmin,CN=Users,DC=lab,DC=local"
"mlefevre","Marc Lefevre","Domain Admins","Direct","user","True","1","CN=Marc Lefevre,OU=IT,DC=lab,DC=local"
"svc-backup","svc-backup","Domain Admins","Direct","user","True","1","CN=svc-backup,OU=Service Accounts,DC=lab,DC=local"
"svc-legacy","svc-legacy","Domain Admins","Direct","user","True","1","CN=svc-legacy,OU=Service Accounts,DC=lab,DC=local"
"labadmin",,"Enterprise Admins","Direct","user","True","1","CN=labadmin,CN=Users,DC=lab,DC=local"
"labadmin",,"Group Policy Creator Owners","Direct","user","True","1","CN=labadmin,CN=Users,DC=lab,DC=local"
"labadmin",,"Schema Admins","Direct","user","True","1","CN=labadmin,CN=Users,DC=lab,DC=local"

